https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDP,tradecount
1639785600000,2021-12-18,BTCUSDP,46147.86,47288.12,45466.74,46950.66,7.01906,326751.2787171,329
1639699200000,2021-12-17,BTCUSDP,47578.38,48016.13,45500.0,46137.05,21.87466,1021560.2299366,804
1639612800000,2021-12-16,BTCUSDP,48874.5,49386.29,47577.21,47698.83,12.72599,617572.261983,598
1639526400000,2021-12-15,BTCUSDP,48359.93,49442.67,46625.75,48869.98,20.50717,985991.0010346,778
1639440000000,2021-12-14,BTCUSDP,46575.91,48645.58,46342.06,48340.52,17.65901,836989.7159075,601
1639353600000,2021-12-13,BTCUSDP,50105.84,50144.86,45707.77,46900.04,18.15685,868779.5658729,584
1639267200000,2021-12-12,BTCUSDP,49395.72,50719.82,48621.66,50081.51,7.6302,377905.9294365,276
1639180800000,2021-12-11,BTCUSDP,47325.87,49370.0,46850.49,49285.09,6.4048,309347.192819,400
1639094400000,2021-12-10,BTCUSDP,47676.71,50110.97,46719.32,47184.15,13.99725,679654.1532822,803
1639008000000,2021-12-09,BTCUSDP,50713.39,50713.39,47352.53,47626.03,10.6698,522708.8839401,2181
1638921600000,2021-12-08,BTCUSDP,50611.79,51146.61,48730.0,50471.22,4.21547,211561.218452,321
1638835200000,2021-12-07,BTCUSDP,50578.49,51955.0,50133.96,50680.9,13.81981,703938.5998132,526
1638748800000,2021-12-06,BTCUSDP,49309.33,50888.96,47225.95,50529.58,12.721,623229.8351894,793
1638662400000,2021-12-05,BTCUSDP,49296.57,49755.02,47659.54,49315.33,5.49983,269361.3835124,490
1638576000000,2021-12-04,BTCUSDP,53734.01,53862.96,42688.6,49326.07,24.71427,1187027.4592313,1567
1638489600000,2021-12-03,BTCUSDP,56420.09,57596.5,51732.91,53538.25,7.20682,391174.8335145,575
1638403200000,2021-12-02,BTCUSDP,57150.57,57312.99,55841.92,56487.0,9.00316,510292.2903856,491
1638316800000,2021-12-01,BTCUSDP,57334.62,58880.66,56520.93,57127.08,8.60031,497123.331083,504
1638230400000,2021-11-30,BTCUSDP,57666.17,59129.0,55804.29,57004.67,17.86609,1019564.479865,672
1638144000000,2021-11-29,BTCUSDP,57491.52,58875.84,56678.49,57664.03,6.9791,402214.2770682,495
