https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDC,tradecount
1612483200000,2021-02-05,BTCUSDC,36962.83,38366.53,36606.29,38333.51,2393.116571,90125204.34381808,44645
1612396800000,2021-02-04,BTCUSDC,37637.44,38759.09,36192.89,36976.61,3025.320823,113656801.63045064,59009
1612310400000,2021-02-03,BTCUSDC,35500.0,37685.71,35404.21,37661.46,3210.012506,117709185.47379358,58050
1612224000000,2021-02-02,BTCUSDC,33530.59,36025.69,33440.86,35516.68,3360.726349,117133298.42465834,52544
1612137600000,2021-02-01,BTCUSDC,33120.51,34781.92,32324.02,33545.58,2599.698816,87751613.35547668,49989
1612051200000,2021-01-31,BTCUSDC,34302.16,34379.02,32200.04,33130.26,2117.537392,70477926.65322986,36630
1611964800000,2021-01-30,BTCUSDC,34250.03,34936.14,32821.83,34311.15,2743.856826,93166637.82210504,50651
1611878400000,2021-01-29,BTCUSDC,33448.07,38639.19,31977.27,34268.18,7160.952542,255384328.05077887,105496
1611792000000,2021-01-28,BTCUSDC,30419.72,33848.16,29878.28,33454.22,3955.900068,126741030.79938672,54482
1611705600000,2021-01-27,BTCUSDC,32505.08,32573.85,29240.0,30404.7,4569.563129,140726246.32660154,63930
1611619200000,2021-01-26,BTCUSDC,32259.82,32934.14,30747.24,32499.43,3620.442961,115461889.16514549,54167
1611532800000,2021-01-25,BTCUSDC,32296.36,34900.0,31927.29,32259.82,3786.754748,126674955.7470564,53341
1611446400000,2021-01-24,BTCUSDC,32098.02,33096.77,30949.15,32302.42,1680.715239,53991477.56416342,29061
1611360000000,2021-01-23,BTCUSDC,32973.31,33485.16,31425.89,32098.02,2427.427146,78546134.7744417,41959
1611273600000,2021-01-22,BTCUSDC,30845.85,33862.06,28800.0,32994.37,5579.811413,175600626.235848,80832
1611187200000,2021-01-21,BTCUSDC,35478.5,35612.24,30050.0,30841.62,6355.233442,206002678.3206316,91069
1611100800000,2021-01-20,BTCUSDC,35928.27,36412.99,33390.93,35509.09,4140.697658,144763848.32609752,66217
1611014400000,2021-01-19,BTCUSDC,36645.26,37967.29,35875.72,35875.72,3584.123243,132250483.19424637,58001
1610928000000,2021-01-18,BTCUSDC,35801.66,37499.92,34761.67,36645.06,2977.824935,107752519.45561571,43663
1610841600000,2021-01-17,BTCUSDC,35991.66,36847.01,33790.5,35818.76,2757.680853,97907104.10514838,47197
1610755200000,2021-01-16,BTCUSDC,36751.33,38000.0,35370.39,35991.67,3225.453099,118910432.77206703,56357
1610668800000,2021-01-15,BTCUSDC,39113.82,39689.65,34318.0,36768.77,5308.255743,194973947.44619927,81416
1610582400000,2021-01-14,BTCUSDC,37369.85,40100.0,36754.17,39094.19,4029.856519,155761186.27211347,61417
1610496000000,2021-01-13,BTCUSDC,34045.93,37800.0,32344.85,37369.85,4095.861581,141925204.52148682,60421
