[2025-12-14 14:00:41,344][INFO] [UI] Features calculées.
[2025-12-14 14:00:41,360][INFO] [UI] Signal de trading : hold
[2025-12-14 14:00:41,360][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:00:53,644][INFO] [UI] Features calculées.
[2025-12-14 14:00:53,660][INFO] [UI] Signal de trading : hold
[2025-12-14 14:00:53,660][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:01:05,987][INFO] [UI] Features calculées.
[2025-12-14 14:01:05,987][INFO] [UI] Signal de trading : hold
[2025-12-14 14:01:05,987][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:01:18,306][INFO] [UI] Features calculées.
[2025-12-14 14:01:18,321][INFO] [UI] Signal de trading : hold
[2025-12-14 14:01:18,321][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:01:30,645][INFO] [UI] Features calculées.
[2025-12-14 14:01:30,661][INFO] [UI] Signal de trading : hold
[2025-12-14 14:01:30,661][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:01:43,058][INFO] [UI] Features calculées.
[2025-12-14 14:01:43,058][INFO] [UI] Signal de trading : hold
[2025-12-14 14:01:43,058][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:01:55,397][INFO] [UI] Features calculées.
[2025-12-14 14:01:55,397][INFO] [UI] Signal de trading : hold
[2025-12-14 14:01:55,397][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:02:07,690][INFO] [UI] Features calculées.
[2025-12-14 14:02:07,706][INFO] [UI] Signal de trading : hold
[2025-12-14 14:02:07,706][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:02:20,009][INFO] [UI] Features calculées.
[2025-12-14 14:02:20,024][INFO] [UI] Signal de trading : hold
[2025-12-14 14:02:20,024][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:02:32,342][INFO] [UI] Features calculées.
[2025-12-14 14:02:32,358][INFO] [UI] Signal de trading : hold
[2025-12-14 14:02:32,358][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:02:44,667][INFO] [UI] Features calculées.
[2025-12-14 14:02:44,682][INFO] [UI] Signal de trading : hold
